id,category,outcome,importance,satisfaction
P03,Daily activities,Having coffee,5,5
P04,Daily activities,Having coffee,5,5
P05,Daily activities,Having coffee,5,5
P06,Daily activities,Having coffee,5,5
P07,Daily activities,Having coffee,5,4
P08,Daily activities,Having coffee,4,4
P09,Daily activities,Having coffee,3,3
P10,Daily activities,Having coffee,5,4
P11,Daily activities,Having coffee,3,5
P12,Daily activities,Having coffee,5,5
P13,Daily activities,Having coffee,4,4
P14,Daily activities,Having coffee,5,4
P15,Daily activities,Having coffee,5,5
P16,Daily activities,Having coffee,4,4
P17,Daily activities,Having coffee,5,5
P18,Daily activities,Having coffee,5,4
P19,Daily activities,Having coffee,5,5
P20,Daily activities,Having coffee,5,5
P21,Daily activities,Having coffee,5,5
P22,Daily activities,Having coffee,5,5
P23,Daily activities,Having coffee,5,4
P24,Daily activities,Having coffee,5,5
P25,Daily activities,Having coffee,5,5
P26,Daily activities,Having coffee,5,4
P27,Daily activities,Having coffee,5,4
P28,Daily activities,Having coffee,5,5
P29,Daily activities,Having coffee,5,5
P30,Daily activities,Having coffee,4,4
P01,Taking time to relax,Discreet napping,2,2
P02,Taking time to relax,Discreet napping,4,4
P03,Taking time to relax,Discreet napping,5,4
P04,Taking time to relax,Discreet napping,3,4
P05,Taking time to relax,Discreet napping,5,4
P06,Taking time to relax,Discreet napping,4,4
P07,Taking time to relax,Discreet napping,5,4
P08,Taking time to relax,Discreet napping,5,5
P09,Taking time to relax,Discreet napping,5,5
P10,Taking time to relax,Discreet napping,3,4
P11,Taking time to relax,Discreet napping,4,2
P12,Taking time to relax,Discreet napping,3,5
P13,Taking time to relax,Discreet napping,5,3
P14,Taking time to relax,Discreet napping,3,4
P15,Taking time to relax,Discreet napping,1,4
P16,Taking time to relax,Discreet napping,3,4
P17,Taking time to relax,Discreet napping,3,3
P18,Taking time to relax,Discreet napping,2,5
P19,Taking time to relax,Discreet napping,2,1
P20,Taking time to relax,Discreet napping,5,4
P21,Taking time to relax,Discreet napping,5,5
P22,Taking time to relax,Discreet napping,5,5
P23,Taking time to relax,Discreet napping,4,4
P01,Taking time to relax,Hiding from professors,5,4
P02,Taking time to relax,Hiding from professors,5,5
P03,Taking time to relax,Hiding from professors,5,5
P04,Taking time to relax,Hiding from professors,5,3
P05,Taking time to relax,Hiding from professors,5,5
P06,Taking time to relax,Hiding from professors,1,4
P07,Taking time to relax,Hiding from professors,4,4
P08,Taking time to relax,Hiding from professors,4,4
P09,Taking time to relax,Hiding from professors,4,5
P10,Taking time to relax,Hiding from professors,5,3
P01,Taking time to relax,Fleeing from meetings,5,4
P02,Taking time to relax,Fleeing from meetings,5,5
P03,Taking time to relax,Fleeing from meetings,5,5
P04,Taking time to relax,Fleeing from meetings,5,5
P05,Taking time to relax,Fleeing from meetings,4,4
P06,Taking time to relax,Fleeing from meetings,5,5
P07,Taking time to relax,Fleeing from meetings,5,3
P08,Taking time to relax,Fleeing from meetings,4,5
P09,Taking time to relax,Fleeing from meetings,5,4
P10,Taking time to relax,Fleeing from meetings,4,5
P11,Taking time to relax,Fleeing from meetings,5,5
P12,Taking time to relax,Fleeing from meetings,3,3
P13,Taking time to relax,Fleeing from meetings,3,4
P14,Taking time to relax,Fleeing from meetings,5,5
P15,Taking time to relax,Fleeing from meetings,5,5
P16,Taking time to relax,Fleeing from meetings,5,5
P17,Taking time to relax,Fleeing from meetings,5,4
P18,Taking time to relax,Fleeing from meetings,5,5
P19,Taking time to relax,Fleeing from meetings,5,5
